Epoch [1/150]; Time: 136.26 seconds; Loss: 0.0104
Epoch [2/150]; Time: 138.20 seconds; Loss: 0.0087
Epoch [3/150]; Time: 136.17 seconds; Loss: 0.0068
Epoch [4/150]; Time: 135.56 seconds; Loss: 0.0055
Epoch [5/150]; Time: 135.56 seconds; Loss: 0.0049
Epoch [6/150]; Time: 136.24 seconds; Loss: 0.0037
Epoch [7/150]; Time: 136.01 seconds; Loss: 0.0040
Epoch [8/150]; Time: 136.69 seconds; Loss: 0.0035
Epoch [9/150]; Time: 134.17 seconds; Loss: 0.0040
Epoch [10/150]; Time: 134.19 seconds; Loss: 0.0037
Epoch [11/150]; Time: 134.73 seconds; Loss: 0.0034
Epoch [12/150]; Time: 136.06 seconds; Loss: 0.0026
Epoch [13/150]; Time: 136.15 seconds; Loss: 0.0028
Epoch [14/150]; Time: 134.58 seconds; Loss: 0.0029
Epoch [15/150]; Time: 135.53 seconds; Loss: 0.0022
Epoch [16/150]; Time: 136.46 seconds; Loss: 0.0021
Epoch [17/150]; Time: 134.30 seconds; Loss: 0.0023
Epoch [18/150]; Time: 137.65 seconds; Loss: 0.0015
Epoch [19/150]; Time: 136.09 seconds; Loss: 0.0015
Epoch [20/150]; Time: 136.80 seconds; Loss: 0.0019
Epoch [21/150]; Time: 136.47 seconds; Loss: 0.0019
Epoch [22/150]; Time: 137.65 seconds; Loss: 0.0019
Epoch [23/150]; Time: 139.96 seconds; Loss: 0.0020
Epoch [24/150]; Time: 146.51 seconds; Loss: 0.0018
Epoch [25/150]; Time: 140.24 seconds; Loss: 0.0014
Epoch [26/150]; Time: 142.12 seconds; Loss: 0.0017
Epoch [27/150]; Time: 140.77 seconds; Loss: 0.0017
Epoch [28/150]; Time: 143.76 seconds; Loss: 0.0016
Epoch [29/150]; Time: 142.32 seconds; Loss: 0.0014
Epoch [30/150]; Time: 150.10 seconds; Loss: 0.0017
Epoch [31/150]; Time: 150.37 seconds; Loss: 0.0012
Epoch [32/150]; Time: 149.72 seconds; Loss: 0.0015
Epoch [33/150]; Time: 150.12 seconds; Loss: 0.0015
Epoch [34/150]; Time: 152.70 seconds; Loss: 0.0013
Epoch [35/150]; Time: 150.31 seconds; Loss: 0.0014
Epoch [36/150]; Time: 151.59 seconds; Loss: 0.0011
Epoch [37/150]; Time: 151.20 seconds; Loss: 0.0011
Epoch [38/150]; Time: 150.46 seconds; Loss: 0.0016
Epoch [39/150]; Time: 150.51 seconds; Loss: 0.0018
Epoch [40/150]; Time: 152.52 seconds; Loss: 0.0012
Epoch [41/150]; Time: 151.64 seconds; Loss: 0.0012
Epoch [42/150]; Time: 152.54 seconds; Loss: 0.0012
Epoch [43/150]; Time: 154.28 seconds; Loss: 0.0013
Epoch [44/150]; Time: 144.03 seconds; Loss: 0.0010
Epoch [45/150]; Time: 139.35 seconds; Loss: 0.0012
Epoch [46/150]; Time: 145.04 seconds; Loss: 0.0013
Epoch [47/150]; Time: 143.98 seconds; Loss: 0.0013
Epoch [48/150]; Time: 151.94 seconds; Loss: 0.0009
Epoch [49/150]; Time: 144.23 seconds; Loss: 0.0015
Epoch [50/150]; Time: 143.71 seconds; Loss: 0.0011
Epoch [51/150]; Time: 147.88 seconds; Loss: 0.0010
Epoch [52/150]; Time: 149.91 seconds; Loss: 0.0014
Epoch [53/150]; Time: 151.39 seconds; Loss: 0.0012
Epoch [54/150]; Time: 143.50 seconds; Loss: 0.0014
Epoch [55/150]; Time: 151.99 seconds; Loss: 0.0009
Epoch [56/150]; Time: 144.79 seconds; Loss: 0.0012
Epoch [57/150]; Time: 151.27 seconds; Loss: 0.0014
Epoch [58/150]; Time: 145.12 seconds; Loss: 0.0011
Epoch [59/150]; Time: 150.18 seconds; Loss: 0.0013
Epoch [60/150]; Time: 146.15 seconds; Loss: 0.0012
Epoch [61/150]; Time: 143.30 seconds; Loss: 0.0011
Epoch [62/150]; Time: 141.96 seconds; Loss: 0.0010
Epoch [63/150]; Time: 142.03 seconds; Loss: 0.0010
Epoch [64/150]; Time: 142.38 seconds; Loss: 0.0011
Epoch [65/150]; Time: 143.66 seconds; Loss: 0.0009
Epoch [66/150]; Time: 144.16 seconds; Loss: 0.0011
Epoch [67/150]; Time: 144.02 seconds; Loss: 0.0007
Epoch [68/150]; Time: 141.74 seconds; Loss: 0.0009
Epoch [69/150]; Time: 156.07 seconds; Loss: 0.0010
Epoch [70/150]; Time: 148.81 seconds; Loss: 0.0009
Epoch [71/150]; Time: 145.91 seconds; Loss: 0.0009
Epoch [72/150]; Time: 150.87 seconds; Loss: 0.0009
Epoch [73/150]; Time: 146.81 seconds; Loss: 0.0009
Epoch [74/150]; Time: 149.80 seconds; Loss: 0.0011
Epoch [75/150]; Time: 148.14 seconds; Loss: 0.0008
Epoch [76/150]; Time: 155.04 seconds; Loss: 0.0010
Epoch [77/150]; Time: 146.30 seconds; Loss: 0.0008
Epoch [78/150]; Time: 154.25 seconds; Loss: 0.0016
Epoch [79/150]; Time: 159.33 seconds; Loss: 0.0008
Epoch [80/150]; Time: 148.28 seconds; Loss: 0.0009
Epoch [81/150]; Time: 154.61 seconds; Loss: 0.0011
Epoch [82/150]; Time: 150.37 seconds; Loss: 0.0010
Epoch [83/150]; Time: 148.45 seconds; Loss: 0.0007
Epoch [84/150]; Time: 153.07 seconds; Loss: 0.0009
Epoch [85/150]; Time: 148.52 seconds; Loss: 0.0006
Epoch [86/150]; Time: 150.39 seconds; Loss: 0.0006
Epoch [87/150]; Time: 148.23 seconds; Loss: 0.0008
Epoch [88/150]; Time: 148.74 seconds; Loss: 0.0009
Epoch [89/150]; Time: 156.61 seconds; Loss: 0.0007
Epoch [90/150]; Time: 154.75 seconds; Loss: 0.0009
Epoch [91/150]; Time: 153.99 seconds; Loss: 0.0009
Epoch [92/150]; Time: 146.24 seconds; Loss: 0.0009
Epoch [93/150]; Time: 144.41 seconds; Loss: 0.0007
Epoch [94/150]; Time: 144.32 seconds; Loss: 0.0008
Epoch [95/150]; Time: 144.55 seconds; Loss: 0.0007
